frame_idx,timestamp_s,waterline_row_px,relative_level_cm
0,0.0,258,0.0
20,0.67,258,0.0
40,1.33,258,0.0
60,2.0,258,0.0
80,2.67,258,0.0
100,3.33,258,0.0
120,4.0,258,0.0
140,4.67,258,0.0
160,5.33,258,0.0
180,6.0,258,0.0
200,6.67,258,0.0
220,7.33,258,0.0
