frame_idx,timestamp_s,waterline_row_px,relative_level_cm
0,0.0,168,-8.65
20,0.67,159,-3.78
40,1.33,159,-3.78
60,2.0,160,-4.32
80,2.67,157,-2.7
100,3.33,157,-2.7
120,4.0,156,-2.16
140,4.67,158,-3.24
160,5.33,156,-2.16
180,6.0,170,-9.73
200,6.67,165,-7.03
220,7.33,168,-8.65
